,open,high,low,close,volume,volatility,rsi,sma_20
2025-05-06,198.21,200.65,197.02,198.51,51216482.0,0.04354215531336361,43.1144,200.7933
2025-05-07,199.17,199.44,193.25,196.25,68616943.0,0.04179194081538579,41.4875,201.9834
2025-05-08,197.72,200.05,194.6796,197.49,50478872.0,0.02382635071274228,42.7637,201.9154
2025-05-09,199.0,200.5399,197.535,198.53,36453923.0,0.02165517308303409,43.8694,202.3204
2025-05-12,210.97,211.2679,206.75,210.79,63775814.0,0.024012525221107403,55.1117,202.9647
2025-05-13,210.43,213.4,209.0,212.93,51909332.0,0.023670133440874267,56.7097,203.4976
2025-05-14,212.43,213.94,210.5801,212.33,49325825.0,0.023680802245639003,56.1066,204.0196
2025-05-15,210.95,212.96,209.54,211.45,45029473.0,0.021650266663740144,55.1798,204.8905
2025-05-16,212.36,212.57,209.77,211.26,54737850.0,0.021562361295429894,54.9686,205.6167
2025-05-19,207.91,209.48,204.26,208.78,46140527.0,0.021195287393192673,52.1629,206.4096
2025-05-20,207.67,208.47,205.03,206.86,42496635.0,0.020159169697060084,50.0337,206.7779
2025-05-21,205.17,207.04,200.71,202.09,59211774.0,0.020174324750168685,45.1075,206.665
2025-05-22,200.71,202.75,199.7,201.36,46742407.0,0.01968639437133829,44.3872,206.3273
2025-05-23,193.665,197.7,193.46,195.27,78432918.0,0.02063914660439838,38.8184,205.6397
2025-05-27,198.3,200.74,197.43,200.21,56288475.0,0.021560525374993703,44.8615,205.1562
2025-05-28,200.59,202.73,199.9,200.42,45339678.0,0.02150745763832501,45.1097,204.6297
2025-05-29,203.575,203.81,198.51,199.95,51477938.0,0.02141430243368701,44.6255,204.0153
2025-05-30,199.37,201.96,196.78,200.85,70819942.0,0.021425330632023325,45.8246,203.4049
2025-06-02,200.28,202.13,200.12,201.7,35423294.0,0.019854197772548765,46.9921,203.235
2025-06-03,201.35,203.77,200.955,203.27,46381567.0,0.01855210071876517,49.1709,203.4663
2025-06-04,202.91,206.24,202.1,202.82,43603985.0,0.018554943139790104,48.5549,203.694
2025-06-05,203.5,204.75,200.15,200.63,55221235.0,0.018534381319774675,45.563,203.9251
2025-06-06,203.0,205.7,202.05,203.92,46607693.0,0.018813987848920848,50.4978,204.2588
2025-06-09,204.39,206.0,200.02,201.45,72862557.0,0.01904385630548763,47.0494,204.417
2025-06-10,200.6,204.35,200.57,202.67,54672608.0,0.012688387821902949,48.9054,204.011
2025-06-11,203.5,204.5,198.41,198.78,60989857.0,0.012917788706262121,43.6517,203.3035
2025-06-12,199.08,199.68,197.3601,199.2,43904635.0,0.012975458888585327,44.3468,202.647
2025-06-13,199.73,200.37,195.7,196.45,51447349.0,0.013194119770394494,40.7978,201.897
2025-06-16,197.3,198.685,196.5636,198.42,43020691.0,0.01353325856122328,44.2404,201.255
2025-06-17,197.2,198.39,195.21,195.64,38856152.0,0.013619341592013756,40.6483,200.598
2025-06-18,195.94,197.57,195.07,196.58,45394689.0,0.013652348346289435,42.3527,200.084
2025-06-20,198.235,201.7,196.855,201.0,96813542.0,0.0138321193481271,49.6715,200.0295
2025-06-23,201.625,202.3,198.96,201.5,55814272.0,0.013819684766461166,50.438,200.0365
2025-06-24,202.59,203.44,200.2,200.3,54064033.0,0.0119512921417715,48.5277,200.288
2025-06-25,201.45,203.67,200.6201,201.56,39525730.0,0.010628366270570976,50.6416,200.3555
2025-06-26,201.43,202.64,199.46,201.0,50799121.0,0.010650304735487667,49.6653,200.3845
2025-06-27,201.89,203.22,200.0,201.08,73188571.0,0.010633476005173233,49.8142,200.441
2025-06-30,202.01,207.39,199.2607,205.17,91912816.0,0.011513460070807061,56.8409,200.657
2025-07-01,206.665,210.1865,206.1401,207.82,78788867.0,0.011796964376899937,60.6822,200.963
2025-07-02,208.91,213.34,208.14,212.44,67941811.0,0.012612149548844103,66.3115,201.4215
2025-07-03,212.145,214.65,211.8101,213.55,34955836.0,0.012582176790155658,67.515,201.958
2025-07-07,212.68,216.23,208.8,209.95,50228984.0,0.012989598049588392,60.0257,202.424
2025-07-08,210.1,211.43,208.45,210.01,42848928.0,0.012565371647177578,60.1051,202.7285
2025-07-09,209.53,211.33,207.22,211.14,48749367.0,0.012167003571686498,61.6506,203.213
2025-07-10,210.505,213.48,210.03,212.41,44443635.0,0.012166360502187647,63.3683,203.7
2025-07-11,210.565,212.13,209.86,211.16,39765812.0,0.011251543738157049,60.4962,204.319
2025-07-14,209.925,210.91,207.54,208.62,38840111.0,0.011749222681925063,55.0376,204.79
2025-07-15,209.22,211.89,208.92,209.11,42296339.0,0.011116341092953437,55.8649,205.423
2025-07-16,210.295,212.4,208.64,210.16,47490532.0,0.01101001841530591,57.6627,206.01
2025-07-17,210.57,211.8,209.59,210.02,48068141.0,0.010311160260796478,57.3274,206.729
2025-07-18,210.87,211.79,209.7045,211.18,48974591.0,0.010316818545003943,59.4324,207.459
2025-07-21,212.1,215.78,211.63,212.48,51377434.0,0.00934751045690635,61.7118,208.033
2025-07-22,213.14,214.95,212.2301,214.4,46404072.0,0.009449304360659475,64.8529,208.678
2025-07-23,215.0,215.15,212.41,214.15,46989301.0,0.009265311149465197,64.1153,209.3705
2025-07-24,213.9,215.69,213.53,213.76,46022620.0,0.009309064130414128,62.9133,209.9805
2025-07-25,214.7,215.24,213.4,213.88,40268781.0,0.009229882589529021,63.1422,210.6245
