,open,high,low,close,volume,volatility,rsi,sma_20
2025-05-05,95.4,99.46,95.242,98.38,7652412.0,0.05131481511396469,56.0331,89.381
2025-05-06,97.05,97.4,93.5801,93.83,13082116.0,0.052926093815038384,50.0439,90.1315
2025-05-07,94.665,96.6,94.23,94.5,14790664.0,0.05239881690923993,50.8766,91.002
2025-05-08,89.685,95.82,88.14,94.0,36455375.0,0.03267942463418951,50.2041,91.132
2025-05-09,94.47,94.91,88.9,91.77,15360731.0,0.02814241619951224,47.207,91.489
2025-05-12,104.0,106.35,99.01,104.34,30713689.0,0.04058008841432087,61.2497,92.5205
2025-05-13,106.35,109.0,106.06,107.68,14517909.0,0.04043886647985014,63.9905,93.766
2025-05-14,108.41,111.88,108.25,111.45,16383983.0,0.040710929248305605,66.8414,95.143
2025-05-15,109.925,111.73,108.39,110.21,13577332.0,0.04101318760364136,65.0181,96.4555
2025-05-16,111.56,112.38,109.7974,110.75,96081410.0,0.04085773179327532,65.46,97.8105
2025-05-19,108.81,109.92,106.82,109.1,9809745.0,0.04044894842613231,62.8477,99.1835
2025-05-20,108.63,109.09,104.6127,106.43,8294533.0,0.04052617301598228,58.7612,100.2195
2025-05-21,104.99,105.5799,101.55,102.32,9251257.0,0.04024194992857514,53.0437,100.7875
2025-05-22,102.42,104.76,101.78,103.29,6216351.0,0.039190950237674695,54.1769,101.196
2025-05-23,100.81,102.96,100.31,101.51,5999459.0,0.03929213756234315,51.7107,101.4155
2025-05-27,104.355,107.48,103.9,106.74,7556564.0,0.04070763840279574,57.7906,101.824
2025-05-28,106.53,108.14,105.5701,107.11,6823365.0,0.04070777273458345,58.1916,102.2335
2025-05-29,109.695,110.68,107.15,107.7,6642102.0,0.03934715911541706,58.8628,102.8685
2025-05-30,107.315,107.69,103.91,107.22,12183250.0,0.039278685829307526,58.0463,103.379
2025-06-02,106.255,107.35,103.73,106.54,5341427.0,0.03914450365546193,56.8434,103.7435
2025-06-03,104.8,106.56,104.29,105.11,7236201.0,0.039239673415211,54.2953,104.08
2025-06-04,105.44,105.75,102.81,103.58,7465147.0,0.037713491476866805,51.6285,104.5675
2025-06-05,104.0,106.56,103.1,105.03,11098124.0,0.03775944915028582,53.9375,105.094
2025-06-06,106.991,112.08,106.66,111.41,8736334.0,0.0395697704707387,62.4345,105.9645
2025-06-09,110.42,111.0,107.76,107.8,7738770.0,0.03999559983931797,56.1257,106.766
