,open,high,low,close,volume,volatility,rsi,sma_20
2025-04-08,103.805,105.85,94.46,96.3,476243392.0,0.037417032897667256,32.2661,111.8752
2025-04-09,98.89,115.1,97.5301,114.33,612918336.0,0.05530105717125457,51.756,111.8047
2025-04-10,109.37,110.86,99.15,107.57,437812353.0,0.05690300963042345,46.3688,111.4042
2025-04-11,108.5,111.5499,107.48,110.93,313417265.0,0.05601040442454814,49.1992,110.8672
2025-04-14,114.11,114.29,109.07,110.71,264705049.0,0.05590801287211308,49.0168,110.4263
2025-04-15,110.97,113.615,110.5,112.2,228966900.0,0.05549303218223372,50.3592,110.2648
2025-04-16,104.55,106.79,100.45,104.49,397016870.0,0.0573639295772965,43.9157,109.6133
2025-04-17,104.45,104.47,100.05,101.49,292517465.0,0.05752638019991303,41.6809,108.7614
2025-04-21,98.77,99.44,95.04,96.91,288501136.0,0.058180998230954684,38.4629,107.722
2025-04-22,98.78,99.811,97.28,98.89,241004784.0,0.05783490082519972,40.5981,106.596
2025-04-23,104.52,104.8,102.02,102.71,247525971.0,0.0587974197025196,44.5924,105.6971
2025-04-24,103.475,106.54,103.11,106.43,220815041.0,0.058252516481574736,48.2424,105.3306
2025-04-25,106.85,111.92,105.73,111.01,251064672.0,0.05890743373158756,52.3999,105.3096
2025-04-28,109.69,110.3699,106.02,108.73,207708479.0,0.05898975320343783,50.2365,105.2626
2025-04-29,107.67,110.1999,107.44,109.02,170444263.0,0.05891170710014518,50.5163,105.2946
2025-04-30,104.47,108.92,104.08,108.92,235044611.0,0.058815051242414214,50.4111,105.2331
2025-05-01,113.08,114.94,111.3,111.61,236121507.0,0.05905363608648843,53.2343,105.2926
2025-05-02,114.18,115.4,113.37,114.5,190194778.0,0.0561268246411617,56.1244,105.9276
2025-05-05,112.905,114.665,112.66,113.82,133163241.0,0.05294350796359089,55.259,106.903
2025-05-06,111.48,114.74,110.822,113.54,158525621.0,0.05269255403956562,54.8838,107.698
